date,unit_id,make,model,year,engine,mpghighway,mpgcity,tankSizeGallons,fuelcard_id,status,site_city,quantity,unit_of_measure,price,odometer,currency,site_state
"2024-04-14 01:25:32",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,16.102,G,62.78,80980,USD,NM
"2024-04-14 01:07:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.302,G,21.04,1,USD,NM
"2024-04-13 11:47:12",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.709,G,53.45,80823,USD,NM
"2024-04-12 01:18:45",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.358,G,21.36,1,USD,NM
"2024-04-12 00:43:28",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.976,G,75.49,80662,USD,NM
"2024-04-11 11:46:58",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.401,G,66.23,80508,USD,NM
"2024-04-10 11:37:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,15.278,G,54.99,80360,USD,NM
"2024-04-06 18:53:17",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.295,G,21.14,1,USD,NM
"2024-04-06 18:50:23",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.768,G,81.94,80182,USD,NM
"2024-04-06 12:53:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Seminole,24.491,G,88.14,103544,USD,TX
"2024-04-04 03:26:10",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,5.658,G,19.23,1,USD,NM
"2024-04-04 03:23:32",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.291,G,73.03,103222,USD,NM
"2024-04-03 11:43:31",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.483,G,77.32,103063,USD,NM
"2024-04-02 11:45:56",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,25.528,G,91.88,102898,USD,NM
"2024-03-31 21:00:31",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.07,G,22.19,1,USD,NM
"2024-03-31 20:58:21",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,16.376,G,58.94,102606,USD,NM
"2024-03-31 11:43:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.634,G,67.06,102471,USD,NM
"2024-03-30 11:39:54",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.961,G,53.84,102335,USD,NM
"2024-03-29 01:36:46",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.68,G,63.63,102198,USD,NM
"2024-03-28 02:46:44",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.243,G,80.05,102035,USD,NM
"2024-03-27 11:35:28",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.248,G,71.78,101866,USD,NM
"2024-03-22 03:54:19",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.29,G,21.13,1,USD,NM
"2024-03-15 22:29:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,26.454,G,105.79,150978,USD,NM
"2024-03-15 10:44:39",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.261,G,51.17,150817,USD,NM
"2024-03-14 16:20:19",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Artesia,12.557,G,43.94,150712,USD,NM
"2024-03-14 04:35:08",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.961,G,57.73,150580,USD,NM
"2024-03-13 03:05:07",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,1.908,G,6.49,1,USD,NM
"2024-03-13 03:00:50",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,24.357,G,93.99,150426,USD,NM
"2024-03-12 11:12:01",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.692,G,76.39,150239,USD,NM
"2024-03-07 11:53:44",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.012,G,76.09,150059,USD,NM
"2024-03-05 11:21:21",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,11.053,G,43.1,149741,USD,NM
"2024-03-04 01:58:15",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,4.174,G,15.31,728,USD,NM
"2024-03-03 23:09:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,28.917,G,112.75,149569,USD,NM
"2024-03-03 11:34:34",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.854,G,79.79,149403,USD,NM
"2024-03-02 11:26:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.814,G,69.46,142936,USD,NM
"2024-03-01 11:19:55",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.484,G,72.07,149074,USD,NM
"2024-02-28 13:09:39",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Loving,22.612,G,90.43,148914,USD,NM
"2024-02-20 03:39:06",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,4.764,G,14.29,1,USD,NM
"2024-02-20 03:33:24",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,24.952,G,111.01,148715,USD,NM
"2024-02-19 03:10:59",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.331,G,77.49,148522,USD,NM
"2024-02-13 02:26:53",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.214,G,80.84,148341,USD,NM
"2024-02-13 02:23:56",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,5.316,G,16.47,148341,USD,NM
"2024-02-09 17:42:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,27.806,G,111.2,1,USD,NM
"2024-02-08 11:37:02",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,23.685,G,103.07,147935,USD,NM
"2024-02-07 11:39:30",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.983,G,31.13,147762,USD,NM
"2024-02-05 23:33:26",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,46.945,G,187.73,145871,USD,NM
"2024-02-01 11:37:25",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,8.138,G,36.24,147037,USD,NM
"2024-01-31 01:29:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.829,G,24.26,1,USD,NM
"2024-01-31 01:12:01",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,25.843,G,103.35,146862,USD,NM
"2024-01-27 20:35:45",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.003,G,40.3,1,USD,NM
"2024-01-27 20:27:26",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,26.757,G,104.33,146703,USD,NM
"2024-01-25 01:28:53",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.558,G,79.74,146541,USD,NM
"2024-01-22 11:28:41",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.449,G,93.46,145988,USD,NM
"2024-01-21 01:04:34",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.458,G,69.57,145808,USD,NM
"2024-01-16 02:28:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,9.73,G,36.96,144967,USD,NM
"2024-01-12 20:27:05",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,11.224,G,30.18,1,USD,NM
"2024-01-12 20:21:55",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.811,G,83.73,144961,USD,NM
"2024-01-12 11:30:49",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,15.75,G,60.46,232399,USD,NM
"2024-01-11 00:45:54",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.398,G,82.15,232730,USD,NM
"2024-01-10 03:28:42",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,26.175,G,100.49,232399,USD,NM
"2024-01-08 16:01:17",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,8.407,G,23.03,1,USD,NM
"2024-01-07 05:18:54",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,23.991,G,92.58,232080,USD,NM
"2024-01-04 03:15:40",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,34.022,G,131.29,231263,USD,NM
"2024-01-03 02:51:42",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,25.584,G,98.73,231006,USD,NM
"2023-12-29 15:04:15",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.589,G,21.01,1,USD,NM
"2023-12-28 23:24:34",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,12.664,G,35.45,1,USD,NM
"2023-12-28 23:20:24",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.959,G,85.18,230739,USD,NM
"2023-12-26 01:36:10",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,28.134,G,110.26,230157,USD,NM
"2023-12-22 01:17:57",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.116,G,71,229870,USD,NM
"2023-12-20 23:27:01",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,10.833,G,42.67,229579,USD,NM
"2023-12-20 02:04:32",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.841,G,74.59,229316,USD,NM
"2023-12-19 01:47:41",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,11.726,G,30.01,1,USD,NM
"2023-12-19 01:46:41",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.325,G,57,229046,USD,NM
"2023-12-14 15:22:02",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Loving,8.256,G,35.49,1,USD,NM
"2023-12-12 23:23:45",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,15.716,G,65.99,228576,USD,NM
"2023-12-12 04:33:06",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.58,G,20,1,USD,NM
"2023-12-12 01:20:08",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.674,G,82.61,228305,USD,NM
"2023-12-10 23:42:48",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.88,G,79.28,141701,USD,NM
"2023-12-09 23:17:34",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.619,G,86.58,141521,USD,NM
"2023-12-09 01:54:21",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.029,G,94.7,227497,USD,NM
"2023-12-07 23:25:26",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.369,G,57.47,141190,USD,NM
"2023-12-07 12:06:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.011,G,77.43,141038,USD,NM
"2023-12-06 12:00:57",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.254,G,87.07,140877,USD,NM
"2023-12-05 12:06:09",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,23.045,G,99.07,140716,USD,NM
"2023-11-30 13:37:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,12.606,G,55.45,140525,USD,NM
"2023-11-29 22:36:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.857,G,30.16,146056,USD,NM
"2023-11-29 13:50:55",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,33.309,G,146.53,140359,USD,NM
"2023-11-27 02:07:16",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,31.42,G,138.22,1,USD,NM
"2023-11-26 12:04:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,23.864,G,104.98,139764,USD,NM
"2023-11-25 11:56:50",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.791,G,91.46,139560,USD,NM
"2023-11-22 04:16:41",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.392,G,80.91,139367,USD,NM
"2023-11-21 01:43:10",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.773,G,64.99,139204,USD,NM
"2023-11-20 14:24:38",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Eunice,31.592,G,151.28,139034,USD,NM
"2023-11-18 12:02:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Seminole,12.706,G,54.62,138819,USD,TX
"2023-11-17 13:58:20",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.344,G,98.29,138652,USD,NM
"2023-11-15 23:44:27",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,8.094,G,25,1,USD,NM
"2023-11-15 23:38:54",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,15.926,G,70.06,138463,USD,NM
"2023-11-15 12:32:45",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,24.867,G,111.88,138289,USD,NM
"2023-11-13 23:21:36",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.419,G,78.37,138090,USD,NM
"2023-11-13 11:49:37",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.279,G,86.74,137898,USD,NM
"2023-11-11 14:10:43",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.52,G,83.32,137537,USD,NM
"2023-11-10 03:21:14",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.046,G,85.69,137337,USD,NM
"2023-11-09 14:14:05",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,21.688,G,97.57,137150,USD,NM
"2023-11-04 19:26:40",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,6.252,G,20,1,USD,NM
"2023-11-04 19:24:02",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.395,G,93.8,136776,USD,NM
"2023-11-01 22:27:16",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,13.054,G,60.04,136608,USD,NM
"2023-11-01 02:58:49",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,24.57,G,113,136438,USD,NM
"2023-10-30 22:44:25",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.483,G,85,136242,USD,NM
"2023-10-30 13:04:36",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,25.451,G,117.05,136077,USD,NM
"2023-10-30 00:05:57",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.909,G,26.01,1,USD,NM
"2023-10-28 23:49:36",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,16.923,G,77.83,135877,USD,NM
"2023-10-28 12:58:56",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.126,G,101.76,135704,USD,NM
"2023-10-27 13:04:30",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.921,G,87.02,135536,USD,NM
"2023-10-26 13:19:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,27.767,G,119.37,1,USD,NM
"2023-10-25 02:15:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,3.955,G,15.03,1,USD,NM
"2023-10-25 02:14:02",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.44,G,94,135157,USD,NM
"2023-10-24 11:28:16",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,14.937,G,65.71,134968,USD,NM
"2023-10-18 00:05:55",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.459,G,90,134387,USD,NM
"2023-10-16 22:33:05",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,7.893,G,25.01,1,USD,NM
"2023-10-15 10:22:54",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.154,G,97.46,134055,USD,NM
"2023-10-14 10:27:09",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.97,G,83.45,133868,USD,NM
"2023-10-13 02:04:10",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,15.516,G,68.25,133700,USD,NM
"2023-10-11 22:58:41",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,12.857,G,41.9,133529,USD,NM
"2023-10-11 01:18:02",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.101,G,75.23,133332,USD,NM
"2023-10-10 12:49:13",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,19.974,G,87.87,133133,USD,NM
"2023-10-04 23:27:09",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,23.017,G,101.25,132974,USD,NM
"2023-10-02 22:51:05",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,27.225,G,119.76,132396,USD,NM
"2023-09-30 22:51:24",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.392,G,89.7,132013,USD,NM
"2023-09-29 23:32:19",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,27.138,G,119.38,131844,USD,NM
"2023-09-28 22:30:33",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.678,G,90.96,131587,USD,NM
"2023-09-27 22:33:04",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,5.733,G,19.72,0,USD,NM
"2023-09-27 22:28:20",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,16.729,G,73.59,131396,USD,NM
"2023-09-26 22:40:15",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,34.46,G,151.59,131224,USD,NM
"2023-09-20 22:35:26",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.024,G,79.29,130889,USD,NM
"2023-09-19 22:28:42",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,22.548,G,99.19,130721,USD,NM
"2023-09-19 00:10:44",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,17.388,G,76.49,130510,USD,NM
"2023-09-17 22:10:22",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,20.064,G,88.26,130348,USD,NM
"2023-09-16 23:00:18",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Hobbs,18.98,G,83.49,130180,USD,NM
"2023-09-16 10:30:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,23.664,G,104.1,120002,USD,NM
"2023-09-14 23:01:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.867,G,78.6,129798,USD,NM
"2023-09-13 22:47:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.413,G,85.4,129623,USD,NM
"2023-09-12 22:51:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.913,G,87.6,129438,USD,NM
"2023-09-09 22:39:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.561,G,87.57,129254,USD,NM
"2023-09-09 00:14:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.084,G,81.28,129064,USD,NM
"2023-09-07 22:53:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,16.492,G,70.24,128864,USD,NM
"2023-09-06 23:06:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.839,G,75.98,128701,USD,NM
"2023-09-05 22:48:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,16.847,G,74.11,128523,USD,NM
"2023-09-05 10:28:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,22.059,G,97.04,128381,USD,NM
"2023-09-03 22:53:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.706,G,86.69,128161,USD,NM
"2023-09-02 22:55:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.654,G,77.66,127969,USD,NM
"2023-09-01 22:56:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.818,G,87.18,127795,USD,NM
"2023-09-01 10:31:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,17.424,G,76.65,127605,USD,NM
"2023-08-31 10:14:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,20.9,G,91.94,127426,USD,NM
"2023-08-29 23:04:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,19.495,G,81.86,127248,USD,NM
"2023-08-25 22:57:00",88610,FORD,F-650,2015,6.7,NULL,NULL,0,9844,Active,Lovington,18.844,G,79.13,127058,USD,NM
